,title,details,content
0,Sand Artist Manas Sahoo Pays Tribute To Queen Elizabeth On Puri Beach,"Edited by Diksha Rani  | Saturday September 10, 2022","Manas Sahoo, a renowned sand artist from Odisha's Puri, has honoured the Queen Elizabeth II with a beautiful, huge sand sculpture at Golden Sea Beach."
1,Confirmed: Disha Patani To Star Opposite Suriya In His 42nd Film,"Written by Jyothi Jha  | Saturday September 10, 2022, New Delhi",The actors confirmed Disha's association with the film on their respective social media handles
2,JEE Advanced 2022 Result To Be Announced Tomorrow,"Edited by Arnab Mitra  | Saturday September 10, 2022",JEE Advanced 2022 Result:  The candidates can check and download the JEE Advanced scorecard on the official website- jeeadv.ac.in
3,"iPhone 14 Series Features Upgraded HDR Gyroscope, 256G Accelerometer for Crash Detection","Written by Siddhant Chandra , Edited by Richa Sharma  | Saturday September 10, 2022","The iPhone 14 series comes with a new Crash Detection feature. To make this feature work accurately, Apple has equipped the iPhone 14 series with an upgraded HDR gyroscope and a 256G accelerometer."
4,Shilpa Shetty Celebrated Husband Raj Kundra's Birthday With A Bang (Of Smoky Flavours),"Neha Grover   | Saturday September 10, 2022","Shilpa Shetty shared snippets from the birthday celebrations, which featuredsome astounding food presentation techniques."
5,Asia Cup Final Preview: High Hopes For Underdogs Sri Lanka vs Pakistan,"Agence France-Presse   | Saturday September 10, 2022",Asia Cup Final: Sri Lanka are poised for an unlikely Asia Cup victory over favourites Pakistan in Sunday's final after a giant-slaying streak through the tournament despite troubles at home.
6,PM Modi Inaugurates 1st Of Its Kind Centre-State Science Conclave,"Asian News International   | Saturday September 10, 2022, New Delhi","With the aim to facilitate an ecosystem of technology and innovation, Prime Minister Narendra Modi on Saturday inaugurated the Centre-State Science Conclave on Saturday via video conferencing."
7,Queen Elizabeth Death Updates: Charles To Be Proclaimed King Today,"Edited by NDTV News Desk  | Saturday September 10, 2022","Britain's Charles III will officially be proclaimed king in a ceremony on Saturday, a day after he vowed in his first speech to mourning subjects that he would emulate his ""darling mama"", Queen Elizabeth II."
8,"Australia vs New Zealand: Marcus Stoinis, David Warner Out Of 3rd ODI","Agence France-Presse   | Saturday September 10, 2022","Injured all-rounder Marcus Stoinis was Saturday ruled out of Australia's final one-day international against New Zealand, while David Warner was released from the squad to rest."
9,"""Will Be Five Kilos Less"": On Virat Kohli's Ton, Ex-India Coach Ravi Shastri's Out Of The Box Take","NDTV Sports Desk   | Saturday September 10, 2022","After Virat Kohli's ton on Thursday, former India coach Ravi Shastri was asked about Kohli reaching the triple-figure mark after 1020 days, and he gave his insight on it."
10,"""Maharani Elizabeth ko..."": British Envoy Mourns Queen's Death In Hindi","Edited by Supriti David  | Saturday September 10, 2022, New Delhi","British High Commissioner to India Alex Ellis mourned the death of Queen Elizabeth on Friday and as he spoke of her ""life dedicated to service"", he decided to begin doing so in Hindi."
11,How Shilpa Shetty Wished Birthday To Husband Raj Kundra,"Written by Jyothi Jha  | Saturday September 10, 2022, New Delhi","""I'm thankful that you're my bestest friend, the father of my children, my love, and my strength,"" wrote Shilpa Shetty"
12,Assam Chief Minister's Rahul Gandhi Cartoon Gets A Counter From 2010,"Reported by Sunil Prabhu, Edited by Shatabdi Chowdhury  | Saturday September 10, 2022, New Delhi","The Congress has dug up a 12-year-old tweet of Assam Chief Minister Himanta Biswa Sarma praising Rahul Gandhi, hours after he posted a parody video mocking him."
13,JEECUP 2022 Counselling: Round 1 Seat Allotment Result Today; Details Here,"Edited by Arnab Mitra  | Saturday September 10, 2022",JEECUP 2022 Counselling: The candidates can select the freeze/float option and appear for document verification from September 11 to 13. Download round 1 seat allotment list at jeecup.nic.in
14,"Queen Elizabeth To Remain On Canadian Currency ""For Years To Come""","By Stephen Wicary, Bloomberg   | Saturday September 10, 2022, Ottawa","Canada, a former British colony, has a new head of state. But the face of Queen Elizabeth II will continue to appear on its currency."
